gstin,invoice_no,vendor_name,amount,tax_rate,date
19SYNHH8901J1Z4,CHALLENGE-2024-2001,Horizon Hospitality & FMCG Ltd,161864.05,18.0,2024-02-13
24SYNAE4567I1Z3,CHALLENGE-2024-2002,Astra Global Logistics Pvt Ltd,88971.3,18.0,2024-02-23
27SYNZC2345K1Z5,CHALLENGE-2024-2003,Zenith Consumer Products Pvt Ltd,47239.2,18.0,2024-03-04
27SYNAP3456D1Z8,CHALLENGE-2024-2004,Apex Retail Network Pvt Ltd,91998.58,18.0,2024-02-19
27SYNSA0123M1Z7,CHALLENGE-2024-2005,Sterling Auto Components Ltd,66156.99,18.0,2024-02-14
27SYNGG0123H1Z2,CHALLENGE-2024-2006,GreenGrid Infrastructure Pvt Ltd,53965.97,18.0,2024-02-05
27SYNBP9012C1Z7,CHALLENGE-2024-2007,BluePeak Technologies Pvt Ltd,85348.99,18.0,2024-02-06
24SYNAE4567I1Z3,CHALLENGE-2024-2008,Astra Global Logistics Pvt Ltd,43454.2,18.0,2024-02-24
27SYNSA0123M1Z7,CHALLENGE-2024-2009,Sterling Auto Components Ltd,51253.12,18.0,2024-02-21
27SYNSA0123M1Z7,CHALLENGE-2024-2010,Sterling Auto Components Ltd,81564.3,18.0,2024-02-26
29SYNVR5678B1Z6,CHALLENGE-2024-2011,Vertex Business Systems Pvt Ltd,89066.65,18.0,2024-02-28
27SYNAP3456D1Z8,CHALLENGE-2024-2012,Apex Retail Network Pvt Ltd,119556.29,18.0,2024-02-08
19SYNHH8901J1Z4,CHALLENGE-2024-2013,Horizon Hospitality & FMCG Ltd,66073.4,18.0,2024-03-15
24SYNSH4567N1Z8,CHALLENGE-2024-2014,Solaris Healthcare & Pharma Ltd,76995.01,18.0,2024-02-18
27SYNQO6789G1Z1,CHALLENGE-2024-2015,Quantum Office Supplies Pvt Ltd,81674.15,18.0,2024-02-15
27SYNQO6789G1Z1,CHALLENGE-2024-2016,Quantum Office Supplies Pvt Ltd,80925.56,18.0,2024-03-14
24SYNSH4567N1Z8,CHALLENGE-2024-2017,Solaris Healthcare & Pharma Ltd,47598.85,18.0,2024-03-01
29SYNVR5678B1Z6,CHALLENGE-2024-2018,Vertex Business Systems Pvt Ltd,143233.98,18.0,2024-02-23
29SYNSL2345F1Z0,CHALLENGE-2024-2019,Silverline Components Pvt Ltd,71207.99,18.0,2024-03-17
27SYNOI7890E1Z9,CHALLENGE-2024-2020,Orion Industrial Services Pvt Ltd,147161.65,18.0,2024-03-08
27SYNTC1234A1Z5,CHALLENGE-2024-2021,NovaTech Solutions Pvt Ltd,41675.09,18.0,2024-02-28
29SYNVR5678B1Z6,CHALLENGE-2024-2022,Vertex Business Systems Pvt Ltd,78652.25,18.0,2024-02-10
27SYNMD6789L1Z6,CHALLENGE-2024-2023,Matrix Digital Services Pvt Ltd,159887.91,18.0,2024-02-24
19SYNHH8901J1Z4,CHALLENGE-2024-2024,Horizon Hospitality & FMCG Ltd,39277.81,18.0,2024-03-02
24SYNSH4567N1Z8,CHALLENGE-2024-2025,Solaris Healthcare & Pharma Ltd,63225.79,18.0,2024-03-04
24SYNSH4567N1Z8,CHALLENGE-2024-2026,Solaris Healthcare & Pharma Ltd,125966.46,18.0,2024-02-12
27SYNZC2345K1Z5,CHALLENGE-2024-2027,Zenith Consumer Products Pvt Ltd,169348.21,18.0,2024-02-01
29SYNVR5678B1Z6,CHALLENGE-2024-2028,Vertex Business Systems Pvt Ltd,106901.55,18.0,2024-02-03
24SYNAE4567I1Z3,CHALLENGE-2024-2029,Astra Global Logistics Pvt Ltd,156466.81,18.0,2024-03-16
24SYNSH4567N1Z8,CHALLENGE-2024-2030,Solaris Healthcare & Pharma Ltd,123446.48,18.0,2024-02-08
19SYNHH8901J1Z4,CHALLENGE-2024-2031,Horizon Hospitality & FMCG Ltd,145489.23,18.0,2024-03-10
27SYNSA0123M1Z7,CHALLENGE-2024-2032,Sterling Auto Components Ltd,34980.18,18.0,2024-03-12
27SYNBP9012C1Z7,CHALLENGE-2024-2033,BluePeak Technologies Pvt Ltd,133753.39,18.0,2024-02-13
27SYNPP8901P1Z9,CHALLENGE-2024-2034,Prism Paints & Coatings Pvt Ltd,85557.88,18.0,2024-03-07
27SYNPP8901P1Z9,CHALLENGE-2024-2035,Prism Paints & Coatings Pvt Ltd,25217.67,18.0,2024-02-09
27SYNBP9012C1Z7,CHALLENGE-2024-2036,BluePeak Technologies Pvt Ltd,67564.35,18.0,2024-02-20
29SYNVR5678B1Z6,CHALLENGE-2024-2037,Vertex Business Systems Pvt Ltd,102418.28,18.0,2024-02-04
27SYNMD6789L1Z6,CHALLENGE-2024-2038,Matrix Digital Services Pvt Ltd,88290.09,18.0,2024-02-23
27SYNAP3456D1Z8,CHALLENGE-2024-2039,Apex Retail Network Pvt Ltd,123981.44,18.0,2024-02-18
29SYNSL2345F1Z0,CHALLENGE-2024-2040,Silverline Components Pvt Ltd,58075.1,18.0,2024-02-06
