gstin,invoice_no,vendor_name,amount,tax_rate,date
19SYNHH8901J1Z4,INV-2024-1001,Horizon Hospitality & FMCG Ltd,286638.76,18.0,2024-02-29
24SYNSH4567N1Z8,INV-2024-1002,Solaris Healthcare & Pharma Ltd,180619.99,5.0,2024-01-02
27SYNSA0123M1Z7,INV-2024-1003,Sterling Auto Components Ltd,38149.73,18.0,2024-03-23
27SYNQO6789G1Z1,INV-2024-1004,Quantum Office Supplies Pvt Ltd,7417.73,28.0,2024-01-21
27SYNMD6789L1Z6,INV-2024-1005,Matrix Digital Services Pvt Ltd,144907.85,12.0,2024-02-03
29SYNVR5678B1Z6,INV-2024-1006,Vertex Business Systems Pvt Ltd,249226.61,18.0,2024-03-21
24SYNAE4567I1Z3,INV-2024-1007,Astra Global Logistics Pvt Ltd,47539.09,12.0,2024-03-18
24SYNAE4567I1Z3,INV-2024-1008,Astra Global Logistics Pvt Ltd,159328.49,5.0,2024-03-08
27SYNGG0123H1Z2,INV-2024-1009,GreenGrid Infrastructure Pvt Ltd,244260.62,5.0,2024-01-03
27SYNPP8901P1Z9,INV-2024-1010,Prism Paints & Coatings Pvt Ltd,21494.67,12.0,2024-02-09
29SYNVR5678B1Z6,INV-2024-1011,Vertex Business Systems Pvt Ltd,256836.51,5.0,2024-03-03
24SYNAE4567I1Z3,INV-2024-1012,Astra Global Logistics Pvt Ltd,186635.62,12.0,2024-01-17
24SYNAE4567I1Z3,INV-2024-1013,Astra Global Logistics Pvt Ltd,158450.49,18.0,2024-01-22
19SYNHH8901J1Z4,INV-2024-1014,Horizon Hospitality & FMCG Ltd,260493.87,12.0,2024-02-24
27SYNSA0123M1Z7,INV-2024-1015,Sterling Auto Components Ltd,201233.2,12.0,2024-03-29
27SYNQO6789G1Z1,INV-2024-1016,Quantum Office Supplies Pvt Ltd,132554.73,18.0,2024-03-26
24SYNAE4567I1Z3,INV-2024-1017,Astra Global Logistics Pvt Ltd,69023.72,5.0,2024-02-27
29SYNSL2345F1Z0,INV-2024-1018,Silverline Components Pvt Ltd,167067.97,12.0,2024-01-03
27SYNTC1234A1Z5,INV-2024-1019,NovaTech Solutions Pvt Ltd,64145.28,5.0,2024-01-10
27SYNPP8901P1Z9,INV-2024-1020,Prism Paints & Coatings Pvt Ltd,26384.86,18.0,2024-01-05
27SYNAP3456D1Z8,INV-2024-1021,Apex Retail Network Pvt Ltd,73584.67,28.0,2024-02-05
27SYNBP9012C1Z7,INV-2024-1022,BluePeak Technologies Pvt Ltd,82603.93,28.0,2024-03-14
27SYNAP3456D1Z8,INV-2024-1023,Apex Retail Network Pvt Ltd,174773.31,5.0,2024-01-13
29SYNSL2345F1Z0,INV-2024-1024,Silverline Components Pvt Ltd,152858.93,28.0,2024-02-24
27SYNMD6789L1Z6,INV-2024-1025,Matrix Digital Services Pvt Ltd,20842.62,5.0,2024-01-07
27SYNSA0123M1Z7,INV-2024-1026,Sterling Auto Components Ltd,58172.32,12.0,2024-01-14
24SYNAE4567I1Z3,INV-2024-1027,Astra Global Logistics Pvt Ltd,121364.32,12.0,2024-02-27
27SYNOI7890E1Z9,INV-2024-1028,Orion Industrial Services Pvt Ltd,245558.95,12.0,2024-02-29
29SYNVR5678B1Z6,INV-2024-1029,Vertex Business Systems Pvt Ltd,18263.85,5.0,2024-02-26
24SYNAE4567I1Z3,INV-2024-1030,Astra Global Logistics Pvt Ltd,243557.91,5.0,2024-01-02
24SYNSH4567N1Z8,INV-2024-1031,Solaris Healthcare & Pharma Ltd,117120.01,12.0,2024-01-31
27SYNGG0123H1Z2,INV-2024-1032,GreenGrid Infrastructure Pvt Ltd,289406.08,28.0,2024-01-28
27SYNQO6789G1Z1,INV-2024-1033,Quantum Office Supplies Pvt Ltd,89567.68,28.0,2024-01-01
27SYNGG0123H1Z2,INV-2024-1034,GreenGrid Infrastructure Pvt Ltd,224851.1,28.0,2024-02-06
27SYNZC2345K1Z5,INV-2024-1035,Zenith Consumer Products Pvt Ltd,57707.98,12.0,2024-03-03
27SYNAP3456D1Z8,INV-2024-1036,Apex Retail Network Pvt Ltd,197666.71,5.0,2024-01-08
27SYNTC1234A1Z5,INV-2024-1037,NovaTech Solutions Pvt Ltd,164093.88,28.0,2024-01-07
27SYNTC1234A1Z5,INV-2024-1038,NovaTech Solutions Pvt Ltd,224257.87,5.0,2024-03-06
19SYNHH8901J1Z4,INV-2024-1039,Horizon Hospitality & FMCG Ltd,116396.01,12.0,2024-01-09
27SYNPP8901P1Z9,INV-2024-1040,Prism Paints & Coatings Pvt Ltd,164455.39,12.0,2024-03-13
27SYNTC1234A1Z5,INV-2024-1041,NovaTech Solutions Pvt Ltd,113095.61,5.0,2024-03-20
19SYNHH8901J1Z4,INV-2024-1042,Horizon Hospitality & FMCG Ltd,276123.58,18.0,2024-03-13
27SYNAP3456D1Z8,INV-2024-1043,Apex Retail Network Pvt Ltd,74904.11,18.0,2024-03-26
27SYNQO6789G1Z1,INV-2024-1044,Quantum Office Supplies Pvt Ltd,138083.62,18.0,2024-01-17
27SYNTC1234A1Z5,INV-2024-1045,NovaTech Solutions Pvt Ltd,24096.32,5.0,2024-02-28
27SYNAP3456D1Z8,INV-2024-1046,Apex Retail Network Pvt Ltd,44193.19,18.0,2024-03-05
29SYNSL2345F1Z0,INV-2024-1047,Silverline Components Pvt Ltd,106998.24,12.0,2024-01-09
27SYNBP9012C1Z7,INV-2024-1048,BluePeak Technologies Pvt Ltd,182736.04,18.0,2024-02-26
27SYNZC2345K1Z5,INV-2024-1049,Zenith Consumer Products Pvt Ltd,177057.8,5.0,2024-03-08
27SYNPP8901P1Z9,INV-2024-1050,Prism Paints & Coatings Pvt Ltd,246789.74,5.0,2024-03-25
27SYNOI7890E1Z9,INV-2024-1051,Orion Industrial Services Pvt Ltd,196236.69,5.0,2024-01-15
27SYNOI7890E1Z9,INV-2024-1052,Orion Industrial Services Pvt Ltd,202512.79,12.0,2024-03-18
27SYNAP3456D1Z8,INV-2024-1053,Apex Retail Network Pvt Ltd,152013.76,18.0,2024-03-28
27SYNOI7890E1Z9,INV-2024-1054,Orion Industrial Services Pvt Ltd,168419.67,5.0,2024-01-07
27SYNTC1234A1Z5,INV-2024-1055,NovaTech Solutions Pvt Ltd,180423.91,12.0,2024-02-12
27SYNOI7890E1Z9,INV-2024-1056,Orion Industrial Services Pvt Ltd,179406.98,28.0,2024-01-21
27SYNQO6789G1Z1,INV-2024-1057,Quantum Office Supplies Pvt Ltd,34029.56,5.0,2024-03-12
27SYNPP8901P1Z9,INV-2024-1058,Prism Paints & Coatings Pvt Ltd,155309.97,12.0,2024-03-29
24SYNSH4567N1Z8,INV-2024-1059,Solaris Healthcare & Pharma Ltd,123533.47,12.0,2024-02-17
27SYNOI7890E1Z9,INV-2024-1060,Orion Industrial Services Pvt Ltd,236498.37,5.0,2024-02-16
27SYNAP3456D1Z8,INV-2024-1061,Apex Retail Network Pvt Ltd,188606.53,12.0,2024-03-28
27SYNSA0123M1Z7,INV-2024-1062,Sterling Auto Components Ltd,311795.29,28.0,2024-03-12
27SYNMD6789L1Z6,INV-2024-1063,Matrix Digital Services Pvt Ltd,242847.81,12.0,2024-01-20
27SYNSA0123M1Z7,INV-2024-1064,Sterling Auto Components Ltd,14173.0,28.0,2024-01-23
27SYNMD6789L1Z6,INV-2024-1065,Matrix Digital Services Pvt Ltd,257980.94,28.0,2024-02-12
27SYNOI7890E1Z9,INV-2024-1066,Orion Industrial Services Pvt Ltd,103658.86,5.0,2024-01-21
