gstin,invoice_no,vendor_name,amount,tax_rate,date
24SYNSH4567N1Z8,INV-2024-1002,Solaris Healthcare & Phamra Ltd,180619.99,5.0,2024-01-02
27SYNSA0123M1Z7,AMB-CAND-1-3,Sterling Auto Components Ltd,38149.73,18.0,2024-03-23
27SYNSA0123M1Z7,AMB-CAND-2-3,Sterling Auto Components Ltd,38149.73,18.0,2024-03-23
27SYNQO6789G1Z1,INV-2024-1004,Quantum Office Supplies Pvt Ltd,7417.73,28.0,2024-01-21
27SYNMD6789L1Z6,INV-2024-1005,Matrix Digital Services Pvt Ltd,144907.85,12.0,2024-02-03
29SYNVR5678B1Z6,INV-2024-1006,Vertex Business Systems Pvt Ltd,249226.61,18.0,2024-03-21
24SYNAE4567I1Z3,INV/2024/001007,Astra Global Logistics Pvt Ltd,47539.09,12.0,2024-03-18
24SYNAE4567I1Z3,INV-2024-1008,Astra Global Logistics Pvt Ltd,179054.88,18.0,2024-03-08
27SYNGG0123H1Z2,INV-2024-1009,GreenGrid Infrastructure Pvt Ltd,244260.62,5.0,2024-01-03
27SYNPP8901P1Z9,INV-2024-1010,Prism Paints & Coatings Pvt Ltd,21494.67,12.0,2024-02-16
29SYNVR5678B1Z6,INV-2024-1011,Vertex Business Systems Pvt Ltd,256836.51,5.0,2024-03-03
24SYNAE4567I1Z3,INV-2024-1013,Astra Global Logistics Pvt Ltd,150393.69,12.0,2024-01-22
19SYNHH8901J1Z4,INV-2024-1014,Horizon Hospitality & FMCG Ltd,254346.21,12.0,2024-02-26
27SYNSA0123M1Z7,INV-2024-1015,Sterling Auto Components Ltd,196484.1,12.0,2024-03-31
27SYNQO6789G1Z1,INV-2024-1016,Quantum Office Supplies Pvt Ltd,125814.66,12.0,2024-03-26
24SYNAE4567I1Z3,INV-2024-1017-A,Astra Global Logistics Pvt Ltd,27609.49,5.0,2024-02-27
24SYNAE4567I1Z3,INV-2024-1017-B,Astra Global Logistics Pvt Ltd,41414.23,5.0,2024-03-01
29SYNSL2345F1Z0,INV-2024-1018,Silverline Components Pvt Ltd,167067.97,12.0,2024-01-03
27SYNTC1234A1Z5,INV-2024-1019,NovaTech Solutions Pvt Ltd,64145.28,5.0,2024-01-10
27SYNPP8901P1Z9,INV-2024-1020,Prism Paints & Coatings Pvt Ltd,26384.86,18.0,2024-01-05
27SYNAP3456D1Z8,INV-2024-1021,Apex Retail Network Pvt Ltd,73584.67,28.0,2024-02-05
27SYNBP9012C1Z7,INV-2024-1022,BluePeak Technolgoies Pvt Ltd,82603.93,28.0,2024-03-14
29SYNSL2345F1Z0,INV-2024-1024,Silverline Components Pvt Ltd,152858.93,28.0,2024-02-24
27SYNMD6789L1Z6,INV-2024-1025,Matrix Digital Services Pvt Ltd,20845.12,5.0,2024-01-07
27SYNSA0123M1Z7,INV-2024-1026,Sterling Auto Components Ltd,58172.32,12.0,2024-01-14
24SYNAE4567I1Z3,INV-2024-1027,Astra Global Logistics Pvt Ltd,121364.32,12.0,2024-02-27
27SYNOI7890E1Z9,INV-2024-1028,Orion Industrial Services Pvt Ltd,245558.95,12.0,2024-02-29
29SYNVR5678B1Z6,INV-2024-1029,Vertex Business Systems Pvt Ltd,17832.82,5.0,2024-02-28
24SYNAE4567I1Z3,INV-2024-1030,Astra Global Logistics Pvt Ltd,243557.91,5.0,2024-01-02
24SYNSH4567N1Z8,INV-2024-1031,Solaris Healthcare & Pharma Ltd,117120.01,12.0,2024-01-31
27SYNGG0123H1Z2,INV-2024-1032-A,GreenGrid Infrastructure Pvt Ltd,144703.04,28.0,2024-01-28
27SYNGG0123H1Z2,INV-2024-1032-B,GreenGrid Infrastructure Pvt Ltd,144703.04,28.0,2024-01-31
27SYNQO6789G1Z1,INV/2024/001033,Quantum Office Supplies Pvt Ltd,89567.68,28.0,2024-01-01
27SYNGG0123H1Z2,INV-2024-1034,GreenGrid Infrastructure Pvt Ltd,224865.6,28.0,2024-02-06
27SYNZC2345K1Z5,INV-2024-1035,Zenith Consumer Products Pvt Ltd,57707.98,12.0,2024-03-03
27SYNAP3456D1Z8,INV-2024-1036,Apex Retail Network Pvt Ltd,197666.71,5.0,2024-01-08
27SYNTC1234A1Z5,INV-2024-1037-A,NovaTech Solutions Pvt Ltd,82046.94,28.0,2024-01-07
